pgb-index-contact-complex-down;sent;name;value;pos;feats;class;use
pgb-index-contact-complex-down;PGB-index-contact-complex-down И они полностью одеты PGE PGB-index-contact-complex-down как-бы не понятно во что PGE.;w2;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-contact-complex-down;PGB-index-contact-simple-down с какой-то женщиной PGE, с которой PGB-index-contact-complex-down они так дружелюбно общаются PGE.;w1;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-nocontact-simple-down;Ну в общем PGB-index-nocontact-simple-down они дают показания PGE.;w1;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-contact-complex-down;PGB-index-contact-complex-down Вот они идут по улице PGE.;w2;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-nocontact-complex-vertical;Вот PGB-index-nocontact-complex-vertical они недовольны PGE, да, что он пришел.;w1;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-other-nocontact-complex-up;Вот, PGB-other-nocontact-simple-up и они PGE как это называется пьют.;w2;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-contact-complex-down;PGB-index-contact-simple-down И тут они тоже сидят в каком-то PGE бунгало.;w3;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-palm-nocontact-simple-up;Да, PGB-index-nocontact-simple-down он еще PGE не. PGB-palm-nocontact-simple-up Они пока еще только начали PGE.;w1;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-nocontact-complex-down;Ну они ну PGB-index-nocontact-complex-down они поняла, они вот напились PGE.;w1;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-nocontact-complex-down;Ну они ну PGB-index-nocontact-complex-down они поняла, они вот напились PGE.;w3;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-contact-complex-down;Смотри, они PGB-index-contact-complex-down это они PGE собрали и PGB-index-contact-simple-down идут продавать PGE, наверное, да?;w2;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-nocontact-simple-vertical;PGB-index-nocontact-simple-vertical Они думают PGE, блин, скалится.;w1;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-palm-nocontact-simple-down;PGB-palm-nocontact-simple-down Они такие не довольные PGE.;w1;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down Они же его и подставили PGE, чтобы понимаешь там.;w1;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-palm-nocontact-complex-vertical;И PGB-palm-nocontact-complex-vertical вот они предлагают PGE предлагают закутить, да.;w2;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-contact-complex-down;Глаз тоже PGE нет PGB-index-contact-simple-down то есть у нее они PGE прорисованы глаза, а PGB-index-nocontact-simple-down вот у этого PGE у дитя как-то все не понятно.;w5;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-other-nocontact-simple-up;Ну как бы, и PGB-other-nocontact-simple-up он единственный как ну кто PGE у кого PGB-other-nocontact-simple-up эмоции счастливые PGE. PGB-other-nocontact-simple-up Они как-то, ну PGE.;w1;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-palm-nocontact-simple-up;А PGB-palm-nocontact-simple-up они здесь тоже PGE.;w1;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-contact-complex-down;PGB-index-contact-simple-down После вот этой картинки оно совсем пропало PGE.;w5;оно;PRON;Case=Nom|Gender=Neut|Number=Sing|Person=3;pp_pl;exophoric
pgb-iindex-contact-complex-down;PGB-index-contact-simple-down И это этот парень PGE который, PGB-index-contact-simple-down наверное, в тюрьму и попал PGE за то, что PGB-iindex-contact-complex-down он избил ее PGE.;w3;ее;ADV;Degree=Cmp;pp_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Он PGE, PGB-index-nocontact-simple-down наверное, ее ударил за PGE то, что она ему изменила.;w2;ее;ADV;Degree=Cmp;pp_sg;exophoric
pgb-index-contact-simple-down;Ну да, PGB-index-contact-complex-down ну это явно до PGE, потому что все таки PGB-index-contact-simple-down он ее PGE ударил.;w2;ее;ADV;Degree=Cmp;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Это жертва, она рассказывает PGE, как PGB-index-contact-simple-down ее били PGE.;w1;ее;ADV;Degree=Cmp;pp_sg;exophoric
pgb-other-nocontact-complex-up;PGB-other-nocontact-complex-up Ну то есть тут видно PGE, PGB-other-nocontact-simple-up он PGE PGB-other-nocontact-complex-up обвиняет ее в том PGE, что PGB-index-nocontact-complex-up она сильно мила к нему PGE была.;w2;ее;ADV;Degree=Cmp;pp_sg;exophoric
pgb-index-contact-simple-down;Хотя он PGB-index-contact-simple-down мог ее уронить PGE после того, как полицейские пришли.;w2;ее;ADV;Degree=Cmp;pp_sg;exophoric
pgb-other-nocontact-simple-down;"А! Да, видишь, эта та ситуация, что PGB-other-nocontact-simple-down он ей PGE рассказывает: ""Да мне корешь сказал!"" ""Да братан же сказал типа, PGB-index-contact-simple-down что PGE ты вот."" PGB-other-nocontact-simple-vertical Видишь PGE.";w2;ей;PRON;Case=Dat|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down А жена не сделала PGE, PGB-index-nocontact-complex-down поэтому когда он вышел PGE, PGB-index-nocontact-complex-down он пошел напрямую ей морду PGE бить.;w4;ей;PRON;Case=Dat|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-nocontact-simple-down Что либо это PGE PGB его отец PGE, PGB-index-contact-simple-down который рассказывает ему PGB, как PGB-index-contact-complex-down они познакомились с его мамой PGE.;w3;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down И рассказывает ему историю их знакомства PGE и PGB-index-contact-simple-down ему что-то не нравится PGE.;w3;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down И рассказывает ему историю их знакомства PGE и PGB-index-contact-simple-down ему что-то не нравится PGE.;w1;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Да, другой стороны, может быть он только он как бы смирился с тем, PGB-index-contact-simple-down ему сейчас выдают PGE и PGB-index-contact-simple-down он как раз наоборот PGE в тюрьму.;w1;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-complex-vertical;Мы не знаем кто это. PGB-palm-contact-simple-vertical Да, в общем он пришел домой после PGE PGB-palm-contact-complex-vertical того как ему на пьянке рассказали PGE, PGB-palm-nocontact-complex-vertical что видели его жену PGE. PGB-palm-nocontact-complex-vertical Что она с кем-то общалась PGE. PGB-palm-contact-simple-vertical Очень дружелюбно.;w3;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-contact-simple-up;PGB-other-contact-simple-up Вот это его там кусок хлеба, который ему дали PGE.;w8;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-nocontact-simple-up;Ну PGB-other-nocontact-simple-up ему плохо PGE.;w1;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Это он рассказывает то, что ему этот мужик рассказал PGE.;w6;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-nocontact-simple-down;PGB-palm-nocontact-simple-down И выдали ему PGE одежду.;w3;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;Ну, ну подожди, PGB-index-nocontact-complex-down мне кажется, что он сказал ему что-то PGE, что его разозлило.;w6;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;Мне PGB-index-nocontact-simple-down кажется, он ему рассказал PGE что-то про его девушку, или что-то такое.;w3;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;Как видимо много PGB-index-nocontact-simple-down ему думать PGE пришлось о своем поведении.;w1;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;И они будут PGB-index-nocontact-simple-down ему счастливы PGE.;w1;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;То есть PGE PGB-index-contact-simple-down и PGE PGB-index-contact-complex-down собственно вопрос в том, что PGE, похоже, PGB-index-contact-simple-down ему выдают эти вещи сейчас PGE.;w1;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-simple-up;Не, PGB-palm-contact-simple-up может быть ему обратно PGE выдают просто то что он сдавал, когда.;w3;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-complex-down;Нет, тут PGB-index-contact-simple-down смотри, вот этот PGE PGB-index-contact-complex-down чувак ему говорит о том, что PGE PGB-index-contact-simple-down он якобы там PGE, PGB-index-nocontact-complex-down что эта девушка PGE.;w2;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-vertical;PGB-index-nocontact-simple-vertical Потому что тут видно, что он был недоволен тем, что ему рассказали PGE. PGB-palm-nocontact-simple-vertical А тут он как бы я вижу последствия PGE.;w11;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Ну слушай, интересно, это картинка такая хреновая, или он ему реально глаз че-то сделал PGE.;w10;ему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;Чтобы избавиться PGB-index-nocontact-simple-down от него PGE, чтобы PGB-index-nocontact-complex-vertical она могла быть счастлива PGE другим мужчиной?;w2;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Там PGB-index-contact-simple-down у него было отрицание PGE.;w2;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Вот, у него тут PGE у него какое-то такое выражение лица очень грустное.;w3;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Вот у него в руках PGE фляжка.;w3;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Вот, PGB-index-contact-simple-down вот да, котомка у него PGE за плечами.;w5;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-contact-simple-up;Эм, ну PGB-other-contact-simple-up тут понятно, что он недоволен, потому что у него рука PGE в кулак сжата.;w9;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Да. PGB-index-contact-simple-down При чем у него какая-то PGE рубашка странная, залатаная.;w4;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-vertical;PGB-index-nocontact-complex-vertical И одежда у него PGE такая же PGB-index-contact-simple-up как и на той картинке PGE.;w4;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-complex-down;Ну слушай, PGB-index-contact-simple-down ну допустим PGE, PGB-index-contact-complex-down что у него PGE.;w3;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;И, собственно, покрышка есть. я говорю, PGB-index-nocontact-complex-down у него больше, чем у меня PGE PGB-index-nocontact-simple-down было, пока PGE PGB-index-nocontact-simple-vertical в общежитии тут PGE жил.;w2;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;А PGB-index-contact-simple-down вот у него хвостик PGE, у него хвостик.;w3;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Ну смотри, у него PGE PGB-index-nocontact-complex-vertical с одной стороны покорное PGE выражение лица, но с другой стороны скажем так, такая сдавленная улыбка.;w4;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-nocontact-complex-vertical;Но как бы PGB-other-nocontact-complex-vertical у него нет ни злость на лице PGE, а какой-то типа.;w2;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-complex-down;Вот, теперь PGB-palm-contact-complex-down на самом деле мне интересно, что же у него PGE вызвало такой гнев. А.;w9;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Вот, да, PGB-index-contact-simple-down потом подала на него PGE еще.;w4;него;PRON;Case=Gen|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-nocontact-simple-vertical;Он PGE PGB-palm-nocontact-simple-vertical начал на нее PGE кричать.;w3;нее;PRON;Case=Acc|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Глаз тоже PGE нет PGB-index-contact-simple-down то есть у нее они PGE прорисованы глаза, а PGB-index-nocontact-simple-down вот у этого PGE у дитя как-то все не понятно.;w4;нее;PRON;Case=Acc|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-up;PGB-other-nocontact-complex-up Ну то есть тут видно PGE, PGB-other-nocontact-simple-up он PGE PGB-other-nocontact-complex-up обвиняет ее в том PGE, что PGB-index-nocontact-complex-up она сильно мила к нему PGE была.;w5;нему;PRON;Case=Dat|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-contact-simple-down;Ну да, PGB-other-contact-simple-down он стоит тут PGE. PGB-other-contact-simple-down Там вроде как свобода PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Потому что он похож PGE PGB-index-contact-simple-down на этого PGE.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;И PGB-index-contact-simple-down ну тут он выглядит старше PGE.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Либо PGB-palm-nocontact-simple-vertical это его друг PGE, PGB-index-contact-complex-down который рассказывает этому PGE парню о том, что PGB-index-contact-simple-down он видел его девушку PGE флиртующей PGB-index-contact-complex-down с другими PGE. PGB-other-nocontact-simple-down И он PGE весь такой, ярость, ярость.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-nocontact-simple-down;Либо PGB-palm-nocontact-simple-vertical это его друг PGE, PGB-index-contact-complex-down который рассказывает этому PGE парню о том, что PGB-index-contact-simple-down он видел его девушку PGE флиртующей PGB-index-contact-complex-down с другими PGE. PGB-other-nocontact-simple-down И он PGE весь такой, ярость, ярость.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;"Ну в общем PGB-index-nocontact-simple-vertical ну видишь PGE, PGB-index-contact-simple-down он так смотрит PGE, типа, ""Это вы что, ему обо мне рассказывает[]""? PGB-index-contact-complex-vertical Видишь, он это PGE он тут подозрительный, подозрительный.";w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-complex-vertical;"Ну в общем PGB-index-nocontact-simple-vertical ну видишь PGE, PGB-index-contact-simple-down он так смотрит PGE, типа, ""Это вы что, ему обо мне рассказывает[]""? PGB-index-contact-complex-vertical Видишь, он это PGE он тут подозрительный, подозрительный.";w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down И это этот парень PGE который, PGB-index-contact-simple-down наверное, в тюрьму и попал PGE за то, что PGB-iindex-contact-complex-down он избил ее PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Он PGE, PGB-index-nocontact-simple-down наверное, ее ударил за PGE то, что она ему изменила.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-contact-simple-down;PGB-other-contact-simple-down Это он и PGE пацаненок уже взрослый.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-complex-down;Ну PGB-index-contact-complex-down смотри, тут он PGE шлепки, кстати, носит.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Видишь, он PGE тоже в защитной позе.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Ну да, PGB-index-contact-complex-down ну это явно до PGE, потому что все таки PGB-index-contact-simple-down он ее PGE ударил.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Да, PGB-index-contact-simple-down тут он рассказывает PGE как ему тяжко приходилось.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-nocontact-simple-down;"А! Да, видишь, эта та ситуация, что PGB-other-nocontact-simple-down он ей PGE рассказывает: ""Да мне корешь сказал!"" ""Да братан же сказал типа, PGB-index-contact-simple-down что PGE ты вот."" PGB-other-nocontact-simple-vertical Видишь PGE.";w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Он может, PGE ну, PGB-index-contact-complex-down как бомж слегка PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Да, другой стороны, может быть он только он как бы смирился с тем, PGB-index-contact-simple-down ему сейчас выдают PGE и PGB-index-contact-simple-down он как раз наоборот PGE в тюрьму.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Это он PGE.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Окей, у меня PGB-index-contact-simple-down предположение одно PGE, что это, PGB-index-contact-simple-down что это что он PGE говорит, что PGB-index-contact-simple-down это его девушка PGE.;w4;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-nocontact-simple-down Ты как считаешь PGE? PGB-index-nocontact-simple-down Ты считаешь, что это PGE PGB-index-contact-simple-down он PGE PGB-index-contact-simple-down или это он PGE?;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-nocontact-simple-down Ты как считаешь PGE? PGB-index-nocontact-simple-down Ты считаешь, что это PGE PGB-index-contact-simple-down он PGE PGB-index-contact-simple-down или это он PGE?;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-dow;PGB-index-contact-simple-dow Он отказывается от алкоголя PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;И PGB-index-nocontact-complex-down он не хочет уже с этими людьми вообще PGE ничего иметь общего.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;О принятии всего PGE, PGB-index-contact-simple-down как он PGE.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-simple-down;PGB-palm-contact-simple-down Вот этот человек, он PGE.;w4;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Но вот этот вот в полосатом, он PGE он вспоминает, выговаривает какую-то ситуацию, PGB-index-contact-complex-down которая произошла вот у этого PGE.;w7;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-nocontact-simple-up;Да, PGB-palm-nocontact-simple-up либо вот он думает PGE, что я вот буду за решеткой сидеть.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Или он думает PGE, что его там будут бить.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-contact-simple-down;Слушай, это жена его! PGB-other-contact-simple-down Это его жена, которую он побил PGE! А, ну да.;w5;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-simple-vertical;Мы не знаем кто это. PGB-palm-contact-simple-vertical Да, в общем он пришел домой после PGE PGB-palm-contact-complex-vertical того как ему на пьянке рассказали PGE, PGB-palm-nocontact-complex-vertical что видели его жену PGE. PGB-palm-nocontact-complex-vertical Что она с кем-то общалась PGE. PGB-palm-contact-simple-vertical Очень дружелюбно.;w4;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-simple-down;Вот смотри, было бы круто если бы. PGB-palm-contact-simple-down Он мечтает, что его встречают PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-contact-simple-up;Эм, ну PGB-other-contact-simple-up тут понятно, что он недоволен, потому что у него рука PGE в кулак сжата.;w4;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down А че он PGE PGB-index-nocontact-simple-down этого не побил PGE, а барышню побил?;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;Да, PGB-index-nocontact-simple-down он еще PGE не. PGB-palm-nocontact-simple-up Они пока еще только начали PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-vertical;PGB-index-contact-simple-vertical Точно, смотри, он боится PGE.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-vertical;PGB-index-nocontact-complex-vertical Значит он сразу же PGE пойдет к своей семье.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Это он рассказывает то, что ему этот мужик рассказал PGE.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-nocontact-simple-up;PGB-other-nocontact-complex-up Ну то есть тут видно PGE, PGB-other-nocontact-simple-up он PGE PGB-other-nocontact-complex-up обвиняет ее в том PGE, что PGB-index-nocontact-complex-up она сильно мила к нему PGE была.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-up;PGB-index-nocontact-simple-up А вот он PGE не белый.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;Ну скорее всего PGB-index-nocontact-simple-down он не говорит на их PGE языке.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-complex-down;Ну понятно, да, подобрали PGE. PGB-palm-contact-complex-down И он отсидел в обезъяннике PGE ночь.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-simple-down;Что это PGE если PGB-palm-contact-simple-down он вышел из тюрьмы PGE. PGB-other-contact-simple-down А это он отсидел PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-contact-simple-down;Что это PGE если PGB-palm-contact-simple-down он вышел из тюрьмы PGE. PGB-other-contact-simple-down А это он отсидел PGE.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;Ну, ну подожди, PGB-index-nocontact-complex-down мне кажется, что он сказал ему что-то PGE, что его разозлило.;w4;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;Мне PGB-index-nocontact-simple-down кажется, он ему рассказал PGE что-то про его девушку, или что-то такое.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;"Это PGB-index-nocontact-simple-down потом это он потом так PGE типа ""by the way"", да.";w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;При этом он совершенно не PGB-index-nocontact-complex-down думает о том, что он PGE сделал женой, и правда.;w5;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-complex-down;PGB-index-contact-complex-down Но он однозначно PGE так или иначе использовал бутылку, PGB-index-nocontact-simple-down потому что PGE.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;Любопытно, что он по том PGB-index-nocontact-complex-down судя по тому, что он PGE рассказывает, он не пытается извиниться.;w5;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-nocontact-complex-down;Не, он даже на самом деле ощущение, что PGB-palm-nocontact-complex-down он даже не понимает о том, что он натворил, да PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-nocontact-complex-down;Не, он даже на самом деле ощущение, что PGB-palm-nocontact-complex-down он даже не понимает о том, что он натворил, да PGE.;w8;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down А жена не сделала PGE, PGB-index-nocontact-complex-down поэтому когда он вышел PGE, PGB-index-nocontact-complex-down он пошел напрямую ей морду PGE бить.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down А жена не сделала PGE, PGB-index-nocontact-complex-down поэтому когда он вышел PGE, PGB-index-nocontact-complex-down он пошел напрямую ей морду PGE бить.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
